"109,0,0,-1",3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0
"90,0,0,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"68,0,0,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
"40,0,1,-1",10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
"29,0,1,-1",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,11.0
"36,0,1,-1",6.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0
"34,0,1,10",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
"41,0,0,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"25,0,0,10",5.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0
"36,0,0,10",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"197,0,1,10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"225,0,2,-1",3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
"148,0,1,10",2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
"292,0,0,-1",2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
"261,0,3,-1",2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0
"232,0,0,-1",2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,-7.0
"205,0,0,-1",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0
"180,0,0,-1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"157,0,3,-1",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"225,0,2,10",2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
"340,0,1,-1",2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0
"29,0,1,10",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"13,0,0,-1",8.0,8.0,8.0,5.0,5.0,8.0,8.0,8.0,8.0
"97,0,1,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
